'/data/elferich/CryoTEM/Johannes_20211029/ER_Hox_grid1/lamella1/frames/s_lamella_map_00333_-15.0_Oct30_12.46.27.tif', 'Contamination', 'corrrect'
'/data/elferich/CryoTEM/Johannes_20211029/ER_Hox_grid1/lamella1/frames/s_lamella_map_00357_-15.0_Oct30_12.50.05.tif', 'Edge of lamella', 'corrrect'
'/data/elferich/CryoTEM/Johannes_20211029/ER_Hox_grid1/lamella1/frames/s_lamella_map_00552_-15.0_Oct30_13.19.40.tif', 'Edge of lamella', 'corrrect'
'/data/elferich/CryoTEM/Johannes_20211029/ER_Hox_grid1/lamella1/frames/s_lamella_map_00577_-15.0_Oct30_13.23.31.tif', 'Edge of lamella', 'corrrect'
'/data/elferich/CryoTEM/Johannes_20211029/ER_Hox_grid1/lamella1/frames/s_lamella_map_00634_-15.0_Oct30_13.32.14.tif', 'Edge of lamella', 'corrrect'
'/data/elferich/CryoTEM/Johannes_20211029/ER_Hox_grid1/lamella1/frames/s_lamella_map_00636_-15.0_Oct30_13.32.32.tif', 'Lipid droplet', 'correct'
'/data/elferich/CryoTEM/Johannes_20211029/ER_Hox_grid1/lamella1/frames/s_lamella_map_00714_-15.0_Oct30_13.44.33.tif', 'Edge of lamella', 'corrrect'
'/data/elferich/CryoTEM/Johannes_20211029/ER_Hox_grid1/lamella1/frames/s_lamella_map_00737_-15.0_Oct30_13.48.06.tif', 'Lipid droplet', 'correct'
'/data/elferich/CryoTEM/Johannes_20211029/ER_Hox_grid1/lamella1/frames/s_lamella_map_00741_-15.0_Oct30_13.48.43.tif', 'Edge of lamella', 'corrrect'
'/data/elferich/CryoTEM/Johannes_20211029/ER_Hox_grid1/lamella1/frames/s_lamella_map_00771_-15.0_Oct30_13.53.20.tif', 'Edge of lamella', 'corrrect'
'/data/elferich/CryoTEM/Johannes_20211029/ER_Hox_grid1/lamella1/frames/s_lamella_map_00796_-15.0_Oct30_13.57.13.tif', 'Edge of lamella', 'corrrect'
'/data/elferich/CryoTEM/Johannes_20211029/ER_Hox_grid1/lamella1/frames/s_lamella_map_00849_-15.0_Oct30_14.05.27.tif', 'Platinum', 'corrrect'
'/data/elferich/CryoTEM/Johannes_20211029/ER_Hox_grid1/lamella1/frames/s_lamella_map_00850_-15.0_Oct30_14.05.37.tif', 'Platinum', 'corrrect'
'/data/elferich/CryoTEM/Johannes_20211029/ER_Hox_grid1/lamella1/frames/s_lamella_map_00854_-15.0_Oct30_14.06.13.tif', 'Platinum', 'corrrect'
'/data/elferich/CryoTEM/Johannes_20211029/ER_Hox_grid1/lamella1/frames/s_lamella_map_00855_-15.0_Oct30_14.06.22.tif', 'Platinum', 'corrrect'
'/data/elferich/CryoTEM/Johannes_20211029/ER_Hox_grid1/lamella1/frames/s_lamella_map_00878_-15.0_Oct30_14.09.58.tif', 'Edge of lamella', 'corrrect'
'/data/elferich/CryoTEM/Johannes_20211029/ER_Hox_grid1/lamella1/frames/s_lamella_map_00903_-15.0_Oct30_14.13.52.tif', 'Platinum', 'corrrect'
'/data/elferich/CryoTEM/Johannes_20211029/ER_Hox_grid1/lamella1/frames/s_lamella_map_00904_-15.0_Oct30_14.14.01.tif', 'Platinum', 'corrrect'
'/data/elferich/CryoTEM/Johannes_20211029/ER_Hox_grid1/lamella1/frames/s_lamella_map_00905_-15.0_Oct30_14.14.10.tif', 'Platinum', 'corrrect'
'/data/elferich/CryoTEM/Johannes_20211029/ER_Hox_grid1/lamella1/frames/s_lamella_map_00909_-15.0_Oct30_14.14.47.tif', 'Platinum', 'corrrect'
'/data/elferich/CryoTEM/Johannes_20211029/ER_Hox_grid1/lamella1/frames/s_lamella_map_00910_-15.0_Oct30_14.14.56.tif', 'Platinum', 'corrrect'
'/data/elferich/CryoTEM/Johannes_20211029/ER_Hox_grid1/lamella1/frames/s_lamella_map_00911_-15.0_Oct30_14.15.06.tif', 'Platinum', 'corrrect'
'/data/elferich/CryoTEM/Johannes_20211029/ER_Hox_grid1/lamella1/frames/s_lamella_map_00919_-15.0_Oct30_14.16.21.tif', 'Vacuum', 'cannot fit'
